"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
2;50;0,2;"t_test";4;0,0762;0
2;50;0,2;"wilcoxon";4;0,1631;0
2;50;0,2;"perverso";4;0,1631;0
2;50;0,2;"t_test";16;0,0502;0
2;50;0,2;"wilcoxon";16;0,4364;0
2;50;0,2;"perverso";16;0,4364;0
2;50;0,5;"t_test";1;0,7009;0
2;50;0,5;"wilcoxon";1;0,9374;0
2;50;0,5;"perverso";1;0,9374;0
2;50;0,5;"t_test";4;0,3221;0
2;50;0,5;"wilcoxon";4;0,071;0
2;50;0,5;"perverso";4;0,071;0
2;50;0,5;"t_test";16;0,0947;0
2;50;0,5;"wilcoxon";16;0,2592;0
2;50;0,5;"perverso";16;0,2592;0
2;100;0;"t_test";1;0,0495;0
2;100;0;"wilcoxon";1;0,0522;0
2;100;0;"perverso";1;0,0522;0
2;100;0;"t_test";4;0,0536;0
2;100;0;"wilcoxon";4;0,6469;0
2;100;0;"perverso";4;0,6469;0
2;100;0;"t_test";16;0,0533;0
2;100;0;"wilcoxon";16;0,8246;0
2;100;0;"perverso";16;0,8246;0
2;100;0,2;"t_test";1;0,3024;0
2;100;0,2;"wilcoxon";1;0,6078;0
2;100;0,2;"perverso";1;0,6078;0
2;100;0,2;"t_test";4;0,1226;0
2;100;0,2;"wilcoxon";4;0,2605;0
2;100;0,2;"perverso";4;0,2605;0
2;100;0,2;"t_test";16;0,0616;0
2;100;0,2;"wilcoxon";16;0,6889;0
2;100;0,2;"perverso";16;0,6889;0
2;100;0,5;"t_test";1;0,9345;0
2;100;0,5;"wilcoxon";1;0,999;0
2;100;0,5;"perverso";1;0,999;0
2;100;0,5;"t_test";4;0,6202;0
2;100;0,5;"wilcoxon";4;0,0819;0
2;100;0,5;"perverso";4;0,0819;0
2;100;0,5;"t_test";16;0,187;0
2;100;0,5;"wilcoxon";16;0,4307;0
2;100;0,5;"perverso";16;0,4307;0
3;10;0;"t_test";1;0,0411;0,6634
3;10;0;"wilcoxon";1;0,045;0,6634
3;10;0;"perverso";1;0,0469;0,6634
3;10;0;"t_test";4;0,0447;0,653
3;10;0;"wilcoxon";4;0,0514;0,653
3;10;0;"perverso";4;0,0509;0,653
3;10;0;"t_test";16;0,0413;0,6606
3;10;0;"wilcoxon";16;0,0646;0,6606
3;10;0;"perverso";16;0,0554;0,6606
3;10;0,2;"t_test";1;0,0723;0,6635
3;10;0,2;"wilcoxon";1;0,0785;0,6635
3;10;0,2;"perverso";1;0,0823;0,6635
3;10;0,2;"t_test";4;0,0518;0,6506
3;10;0,2;"wilcoxon";4;0,0624;0,6506
